starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 20:20:48 2014	1391736048	15	21	35	19
Thu Feb 06 20:20:48 2014	1391736048	16	23	39	23
Thu Feb 06 20:20:48 2014	1391736048	14	26	40	24
Thu Feb 06 20:20:46 2014	1391736046	18	25	43	25
Thu Feb 06 20:20:46 2014	1391736046	21	23	44	22
Thu Feb 06 20:20:51 2014	1391736051	21	24	45	24
Thu Feb 06 20:20:48 2014	1391736048	16	29	45	28
Thu Feb 06 20:20:47 2014	1391736047	17	32	48	31
Thu Feb 06 20:20:47 2014	1391736047	15	34	49	34
Thu Feb 06 20:20:51 2014	1391736051	22	28	50	28
Thu Feb 06 20:20:47 2014	1391736047	17	34	50	33
Thu Feb 06 20:20:51 2014	1391736051	19	31	50	29
Thu Feb 06 20:20:51 2014	1391736051	19	32	51	32
Thu Feb 06 20:20:45 2014	1391736045	23	29	52	29
Thu Feb 06 20:20:47 2014	1391736047	16	35	52	34
Thu Feb 06 20:20:51 2014	1391736051	16	36	52	36
Thu Feb 06 20:20:51 2014	1391736051	20	33	53	32
Thu Feb 06 20:20:48 2014	1391736048	17	36	53	35
Thu Feb 06 20:20:47 2014	1391736047	17	37	53	35
Thu Feb 06 20:20:47 2014	1391736047	15	39	54	39
Thu Feb 06 20:20:47 2014	1391736047	18	36	55	36
Thu Feb 06 20:20:45 2014	1391736045	20	34	55	33
Thu Feb 06 20:20:51 2014	1391736051	21	34	55	33
Thu Feb 06 20:20:51 2014	1391736051	20	35	55	35
Thu Feb 06 20:20:51 2014	1391736051	22	33	55	28
Thu Feb 06 20:20:48 2014	1391736048	17	38	56	36
Thu Feb 06 20:20:51 2014	1391736051	21	35	56	35
Thu Feb 06 20:20:48 2014	1391736048	15	41	56	40
Thu Feb 06 20:20:51 2014	1391736051	21	35	56	35
Thu Feb 06 20:20:45 2014	1391736045	29	28	57	26
Thu Feb 06 20:20:47 2014	1391736047	15	43	58	43
Thu Feb 06 20:20:51 2014	1391736051	20	38	58	37
Thu Feb 06 20:20:48 2014	1391736048	16	42	58	40
Thu Feb 06 20:20:45 2014	1391736045	20	38	58	37
Thu Feb 06 20:20:51 2014	1391736051	20	38	58	38
Thu Feb 06 20:20:47 2014	1391736047	16	42	58	42
Thu Feb 06 20:20:46 2014	1391736046	29	29	58	27
Thu Feb 06 20:20:48 2014	1391736048	17	42	59	42
Thu Feb 06 20:20:43 2014	1391736043	21	38	59	37
Thu Feb 06 20:20:45 2014	1391736045	22	37	59	36
Thu Feb 06 20:20:45 2014	1391736045	18	41	59	41
Thu Feb 06 20:20:47 2014	1391736047	19	39	59	39
Thu Feb 06 20:20:46 2014	1391736046	20	40	59	39
Thu Feb 06 20:20:45 2014	1391736045	24	36	60	35
Thu Feb 06 20:20:47 2014	1391736047	16	44	60	42
Thu Feb 06 20:20:47 2014	1391736047	14	45	60	44
Thu Feb 06 20:20:45 2014	1391736045	22	38	60	37
Thu Feb 06 20:20:46 2014	1391736046	29	31	60	30
Thu Feb 06 20:20:45 2014	1391736045	29	31	61	28
Thu Feb 06 20:20:45 2014	1391736045	24	37	61	36
Thu Feb 06 20:20:47 2014	1391736047	14	47	61	45
Thu Feb 06 20:20:47 2014	1391736047	16	46	61	45
Thu Feb 06 20:20:45 2014	1391736045	18	44	62	44
Thu Feb 06 20:20:45 2014	1391736045	21	41	62	39
Thu Feb 06 20:20:45 2014	1391736045	19	43	62	40
Thu Feb 06 20:20:46 2014	1391736046	29	33	62	33
Thu Feb 06 20:20:45 2014	1391736045	20	42	63	41
Thu Feb 06 20:20:51 2014	1391736051	20	43	63	41
Thu Feb 06 20:20:45 2014	1391736045	22	41	63	39
Thu Feb 06 20:20:45 2014	1391736045	22	41	63	39
Thu Feb 06 20:20:43 2014	1391736043	23	40	63	40
Thu Feb 06 20:20:51 2014	1391736051	21	43	63	42
Thu Feb 06 20:20:14 2014	1391736014	14	49	63	48
Thu Feb 06 20:20:45 2014	1391736045	19	46	64	42
Thu Feb 06 20:20:45 2014	1391736045	23	42	65	41
Thu Feb 06 20:20:43 2014	1391736043	23	43	65	42
Thu Feb 06 20:20:43 2014	1391736043	30	37	66	34
Thu Feb 06 20:20:45 2014	1391736045	16	51	67	51
Thu Feb 06 20:20:43 2014	1391736043	25	42	67	41
Thu Feb 06 20:20:47 2014	1391736047	14	53	67	51
Thu Feb 06 20:20:51 2014	1391736051	22	45	67	44
Thu Feb 06 20:20:47 2014	1391736047	22	45	68	44
Thu Feb 06 20:20:47 2014	1391736047	16	53	69	52
Thu Feb 06 20:20:51 2014	1391736051	27	42	69	41
Thu Feb 06 20:20:46 2014	1391736046	23	46	69	44
Thu Feb 06 20:20:45 2014	1391736045	26	43	69	42
Thu Feb 06 20:20:47 2014	1391736047	17	52	69	52
Thu Feb 06 20:20:51 2014	1391736051	26	43	69	43
Thu Feb 06 20:20:50 2014	1391736050	19	51	70	49
Thu Feb 06 20:20:47 2014	1391736047	15	55	70	48
Thu Feb 06 20:20:45 2014	1391736045	24	46	70	45
Thu Feb 06 20:20:45 2014	1391736045	20	50	70	50
Thu Feb 06 20:20:51 2014	1391736051	27	43	70	41
Thu Feb 06 20:20:45 2014	1391736045	29	42	71	40
Thu Feb 06 20:20:47 2014	1391736047	17	54	71	54
Thu Feb 06 20:20:45 2014	1391736045	18	53	71	52
