starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 20:33:00 2014	1391736780	17	26	43	26
Thu Feb 06 20:33:00 2014	1391736780	18	25	43	25
Thu Feb 06 20:33:00 2014	1391736780	16	28	44	28
Thu Feb 06 20:33:00 2014	1391736780	14	29	44	29
Thu Feb 06 20:33:00 2014	1391736780	16	28	44	28
Thu Feb 06 20:33:00 2014	1391736780	16	28	44	28
Thu Feb 06 20:33:00 2014	1391736780	18	28	46	26
Thu Feb 06 20:33:00 2014	1391736780	18	28	46	28
Thu Feb 06 20:33:00 2014	1391736780	18	28	47	28
Thu Feb 06 20:33:06 2014	1391736786	23	33	56	31
Thu Feb 06 20:33:06 2014	1391736786	24	35	59	35
Thu Feb 06 20:33:06 2014	1391736786	24	36	59	35
Thu Feb 06 20:33:06 2014	1391736786	23	36	59	36
Thu Feb 06 20:33:06 2014	1391736786	24	35	60	35
Thu Feb 06 20:33:07 2014	1391736787	22	38	60	38
Thu Feb 06 20:33:06 2014	1391736786	24	35	60	35
Thu Feb 06 20:33:07 2014	1391736787	23	38	61	38
Thu Feb 06 20:33:07 2014	1391736787	25	36	61	35
Thu Feb 06 20:33:07 2014	1391736787	22	39	61	39
Thu Feb 06 20:33:07 2014	1391736787	24	37	61	37
Thu Feb 06 20:33:07 2014	1391736787	24	37	61	37
Thu Feb 06 20:33:06 2014	1391736786	28	33	61	32
Thu Feb 06 20:33:07 2014	1391736787	22	39	61	39
Thu Feb 06 20:33:08 2014	1391736788	25	37	62	37
Thu Feb 06 20:33:06 2014	1391736786	29	33	62	31
Thu Feb 06 20:33:06 2014	1391736786	29	33	62	31
Thu Feb 06 20:33:08 2014	1391736788	21	42	63	42
Thu Feb 06 20:33:06 2014	1391736786	33	30	63	30
Thu Feb 06 20:33:10 2014	1391736790	22	42	64	41
Thu Feb 06 20:33:07 2014	1391736787	22	41	64	41
Thu Feb 06 20:33:07 2014	1391736787	25	39	64	39
Thu Feb 06 20:33:09 2014	1391736789	18	47	64	44
Thu Feb 06 20:33:06 2014	1391736786	35	30	65	29
Thu Feb 06 20:33:08 2014	1391736788	21	44	65	43
Thu Feb 06 20:33:09 2014	1391736789	16	50	66	50
Thu Feb 06 20:33:07 2014	1391736787	29	37	66	37
Thu Feb 06 20:33:07 2014	1391736787	29	37	66	37
Thu Feb 06 20:33:09 2014	1391736789	16	50	66	50
Thu Feb 06 20:33:07 2014	1391736787	23	44	66	43
Thu Feb 06 20:33:09 2014	1391736789	16	50	66	50
Thu Feb 06 20:33:07 2014	1391736787	17	49	66	49
Thu Feb 06 20:33:06 2014	1391736786	41	26	67	26
Thu Feb 06 20:33:09 2014	1391736789	26	40	67	40
Thu Feb 06 20:33:06 2014	1391736786	38	28	67	28
Thu Feb 06 20:33:06 2014	1391736786	41	26	67	26
Thu Feb 06 20:33:06 2014	1391736786	36	31	67	31
Thu Feb 06 20:33:07 2014	1391736787	16	51	67	51
Thu Feb 06 20:33:07 2014	1391736787	26	41	68	41
Thu Feb 06 20:33:07 2014	1391736787	15	53	68	51
Thu Feb 06 20:33:09 2014	1391736789	29	39	68	39
Thu Feb 06 20:33:07 2014	1391736787	20	48	68	47
Thu Feb 06 20:33:09 2014	1391736789	18	51	68	50
Thu Feb 06 20:33:09 2014	1391736789	19	50	69	50
Thu Feb 06 20:33:09 2014	1391736789	17	52	69	52
Thu Feb 06 20:33:09 2014	1391736789	16	53	69	52
Thu Feb 06 20:33:06 2014	1391736786	25	44	69	43
Thu Feb 06 20:33:08 2014	1391736788	28	42	70	42
Thu Feb 06 20:33:07 2014	1391736787	18	52	70	52
Thu Feb 06 20:33:06 2014	1391736786	25	45	70	44
Thu Feb 06 20:33:08 2014	1391736788	18	52	70	51
Thu Feb 06 20:33:06 2014	1391736786	24	46	70	45
Thu Feb 06 20:33:08 2014	1391736788	19	51	70	51
Thu Feb 06 20:33:06 2014	1391736786	42	28	70	28
Thu Feb 06 20:33:06 2014	1391736786	22	48	70	48
Thu Feb 06 20:33:09 2014	1391736789	30	41	70	40
Thu Feb 06 20:33:10 2014	1391736790	29	42	70	41
Thu Feb 06 20:33:09 2014	1391736789	31	40	70	39
Thu Feb 06 20:33:09 2014	1391736789	31	39	70	39
Thu Feb 06 20:33:09 2014	1391736789	30	41	71	40
Thu Feb 06 20:33:06 2014	1391736786	34	36	71	36
Thu Feb 06 20:33:06 2014	1391736786	30	41	71	41
Thu Feb 06 20:33:10 2014	1391736790	30	41	71	41
Thu Feb 06 20:33:09 2014	1391736789	16	55	71	54
Thu Feb 06 20:33:08 2014	1391736788	20	52	71	51
Thu Feb 06 20:33:07 2014	1391736787	21	50	71	50
Thu Feb 06 20:33:10 2014	1391736790	41	31	71	31
Thu Feb 06 20:33:07 2014	1391736787	18	54	71	54
Thu Feb 06 20:33:07 2014	1391736787	18	55	72	54
Thu Feb 06 20:33:07 2014	1391736787	18	54	72	54
Thu Feb 06 20:33:09 2014	1391736789	14	58	72	58
Thu Feb 06 20:33:10 2014	1391736790	30	42	72	42
Thu Feb 06 20:33:10 2014	1391736790	29	43	73	42
Thu Feb 06 20:33:09 2014	1391736789	16	57	73	56
Thu Feb 06 20:33:07 2014	1391736787	33	40	73	39
Thu Feb 06 20:33:07 2014	1391736787	34	40	73	39
Thu Feb 06 20:33:06 2014	1391736786	46	27	73	27
Thu Feb 06 20:33:06 2014	1391736786	47	27	73	27
