starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 19:57:33 2014	1391734653	14	45	58	44
Thu Feb 06 19:56:33 2014	1391734593	22	42	63	41
Thu Feb 06 19:56:33 2014	1391734593	22	42	64	42
Thu Feb 06 19:57:33 2014	1391734653	17	51	69	50
Thu Feb 06 19:56:33 2014	1391734593	24	49	72	41
Thu Feb 06 19:57:33 2014	1391734653	19	54	73	53
Thu Feb 06 19:56:33 2014	1391734593	23	51	74	50
Thu Feb 06 19:57:33 2014	1391734653	16	61	78	61
Thu Feb 06 19:56:33 2014	1391734593	24	55	79	54
Thu Feb 06 19:56:56 2014	1391734616	27	55	82	55
Thu Feb 06 19:56:56 2014	1391734616	26	57	82	57
Thu Feb 06 19:56:33 2014	1391734593	23	62	85	59
Thu Feb 06 19:56:56 2014	1391734616	26	59	85	57
Thu Feb 06 19:56:33 2014	1391734593	24	63	87	43
Thu Feb 06 19:56:49 2014	1391734609	22	70	92	70
Thu Feb 06 19:56:33 2014	1391734593	22	72	94	71
Thu Feb 06 19:56:33 2014	1391734593	22	76	98	73
Thu Feb 06 19:56:46 2014	1391734606	25	75	100	75
Thu Feb 06 19:56:49 2014	1391734609	18	82	100	81
Thu Feb 06 19:56:46 2014	1391734606	26	76	101	75
Thu Feb 06 19:56:56 2014	1391734616	22	82	104	80
Thu Feb 06 19:56:46 2014	1391734606	25	82	107	82
Thu Feb 06 19:57:32 2014	1391734652	17	90	107	90
Thu Feb 06 19:56:56 2014	1391734616	22	85	108	85
Thu Feb 06 19:56:49 2014	1391734609	22	88	110	88
Thu Feb 06 19:56:46 2014	1391734606	25	85	110	84
Thu Feb 06 19:56:49 2014	1391734609	18	93	111	93
Thu Feb 06 19:56:33 2014	1391734593	24	88	112	87
Thu Feb 06 19:56:33 2014	1391734593	22	92	114	91
Thu Feb 06 19:56:49 2014	1391734609	22	92	115	91
Thu Feb 06 19:56:49 2014	1391734609	23	93	117	93
Thu Feb 06 19:57:32 2014	1391734652	15	102	117	97
Thu Feb 06 19:57:33 2014	1391734653	17	101	118	99
Thu Feb 06 19:56:54 2014	1391734614	25	94	119	92
Thu Feb 06 19:56:46 2014	1391734606	23	98	121	97
Thu Feb 06 19:56:46 2014	1391734606	23	100	123	100
Thu Feb 06 19:56:49 2014	1391734609	15	111	126	110
Thu Feb 06 19:56:33 2014	1391734593	24	104	128	103
Thu Feb 06 19:56:46 2014	1391734606	18	114	132	111
Thu Feb 06 19:56:46 2014	1391734606	15	118	133	118
Thu Feb 06 19:56:53 2014	1391734613	18	115	133	113
Thu Feb 06 19:57:02 2014	1391734622	20	113	133	113
Thu Feb 06 19:56:53 2014	1391734613	14	120	134	119
Thu Feb 06 19:56:43 2014	1391734603	20	115	134	114
Thu Feb 06 19:56:56 2014	1391734616	31	104	135	102
Thu Feb 06 19:56:53 2014	1391734613	18	118	136	116
Thu Feb 06 19:56:43 2014	1391734603	21	115	136	115
Thu Feb 06 19:56:33 2014	1391734593	33	104	137	104
Thu Feb 06 19:56:33 2014	1391734593	33	104	137	101
Thu Feb 06 19:57:02 2014	1391734622	21	116	137	115
Thu Feb 06 19:56:33 2014	1391734593	26	111	137	111
Thu Feb 06 19:56:33 2014	1391734593	33	105	138	105
Thu Feb 06 19:56:47 2014	1391734607	26	113	140	112
Thu Feb 06 19:56:47 2014	1391734607	27	113	140	112
Thu Feb 06 19:56:33 2014	1391734593	30	110	141	109
Thu Feb 06 19:56:47 2014	1391734607	27	113	141	112
Thu Feb 06 19:56:33 2014	1391734593	31	111	141	110
Thu Feb 06 19:56:33 2014	1391734593	25	118	144	117
Thu Feb 06 19:56:56 2014	1391734616	16	130	147	127
Thu Feb 06 19:57:33 2014	1391734653	15	133	148	132
Thu Feb 06 19:56:33 2014	1391734593	34	114	148	111
Thu Feb 06 19:56:33 2014	1391734593	34	115	149	113
Thu Feb 06 19:56:43 2014	1391734603	29	120	149	120
Thu Feb 06 19:57:33 2014	1391734653	15	136	150	134
Thu Feb 06 19:56:40 2014	1391734600	18	132	151	128
Thu Feb 06 19:57:33 2014	1391734653	15	138	153	138
Thu Feb 06 19:56:53 2014	1391734613	16	138	154	138
Thu Feb 06 19:56:47 2014	1391734607	41	113	154	113
Thu Feb 06 19:56:33 2014	1391734593	35	119	155	119
Thu Feb 06 19:56:39 2014	1391734599	54	101	155	101
Thu Feb 06 19:57:32 2014	1391734652	17	141	157	140
Thu Feb 06 19:57:12 2014	1391734632	17	141	157	140
Thu Feb 06 19:56:47 2014	1391734607	45	113	158	113
Thu Feb 06 19:56:39 2014	1391734599	49	110	158	109
Thu Feb 06 19:56:47 2014	1391734607	28	130	159	130
Thu Feb 06 19:56:51 2014	1391734611	15	147	161	145
Thu Feb 06 19:56:51 2014	1391734611	14	149	163	148
Thu Feb 06 19:56:53 2014	1391734613	16	147	163	147
Thu Feb 06 19:56:42 2014	1391734602	31	133	164	130
Thu Feb 06 19:56:39 2014	1391734599	20	145	165	145
Thu Feb 06 19:56:39 2014	1391734599	23	142	165	142
Thu Feb 06 19:56:46 2014	1391734606	14	152	167	146
Thu Feb 06 19:56:51 2014	1391734611	15	152	167	150
Thu Feb 06 19:56:47 2014	1391734607	27	141	168	141
Thu Feb 06 19:57:33 2014	1391734653	14	155	170	155
Thu Feb 06 19:57:28 2014	1391734648	17	153	170	152
Thu Feb 06 19:56:39 2014	1391734599	18	154	171	154
Thu Feb 06 19:56:51 2014	1391734611	15	157	172	156
Thu Feb 06 19:56:47 2014	1391734607	31	142	172	142
Thu Feb 06 19:56:43 2014	1391734603	14	159	174	159
Thu Feb 06 19:56:39 2014	1391734599	49	125	174	122
Thu Feb 06 19:56:39 2014	1391734599	20	154	174	154
Thu Feb 06 19:57:28 2014	1391734648	15	160	175	156
Thu Feb 06 19:56:45 2014	1391734605	14	163	177	162
Thu Feb 06 19:56:39 2014	1391734599	15	162	177	161
Thu Feb 06 19:56:47 2014	1391734607	30	148	177	147
Thu Feb 06 19:56:46 2014	1391734606	17	161	178	161
Thu Feb 06 19:57:09 2014	1391734629	23	155	178	155
Thu Feb 06 19:56:43 2014	1391734603	13	165	179	165
Thu Feb 06 19:57:12 2014	1391734632	15	164	179	164
Thu Feb 06 19:56:48 2014	1391734608	14	166	180	162
Thu Feb 06 19:56:47 2014	1391734607	41	139	180	139
Thu Feb 06 19:56:47 2014	1391734607	49	132	180	130
Thu Feb 06 19:57:28 2014	1391734648	23	158	181	157
Thu Feb 06 19:56:46 2014	1391734606	16	165	181	165
Thu Feb 06 19:56:48 2014	1391734608	18	164	182	163
Thu Feb 06 19:56:39 2014	1391734599	25	157	182	157
Thu Feb 06 19:56:51 2014	1391734611	16	166	182	165
Thu Feb 06 19:56:51 2014	1391734611	22	161	183	158
Thu Feb 06 19:57:33 2014	1391734653	16	167	183	164
Thu Feb 06 19:57:12 2014	1391734632	15	168	183	167
Thu Feb 06 19:56:45 2014	1391734605	17	167	184	166
Thu Feb 06 19:57:28 2014	1391734648	18	167	185	165
Thu Feb 06 19:56:45 2014	1391734605	17	169	186	168
Thu Feb 06 19:56:43 2014	1391734603	21	165	186	165
Thu Feb 06 19:56:39 2014	1391734599	22	166	188	165
Thu Feb 06 19:56:42 2014	1391734602	22	167	189	167
Thu Feb 06 19:56:45 2014	1391734605	20	170	190	170
Thu Feb 06 19:56:39 2014	1391734599	20	170	190	170
Thu Feb 06 19:56:39 2014	1391734599	26	165	191	165
Thu Feb 06 19:57:12 2014	1391734632	17	174	192	174
Thu Feb 06 19:57:16 2014	1391734636	39	153	192	147
Thu Feb 06 19:57:33 2014	1391734653	16	177	193	177
Thu Feb 06 19:56:47 2014	1391734607	47	146	193	132
Thu Feb 06 19:56:47 2014	1391734607	47	146	193	146
Thu Feb 06 19:56:47 2014	1391734607	39	156	194	155
Thu Feb 06 19:56:39 2014	1391734599	72	123	195	123
Thu Feb 06 19:56:47 2014	1391734607	38	157	196	157
Thu Feb 06 19:57:28 2014	1391734648	19	177	196	176
Thu Feb 06 19:57:12 2014	1391734632	19	177	196	177
Thu Feb 06 19:56:33 2014	1391734593	35	162	197	161
Thu Feb 06 19:56:46 2014	1391734606	17	181	197	180
Thu Feb 06 19:57:07 2014	1391734627	24	174	198	171
Thu Feb 06 19:57:12 2014	1391734632	19	178	198	178
Thu Feb 06 19:57:12 2014	1391734632	20	179	198	178
Thu Feb 06 19:56:43 2014	1391734603	20	179	198	177
Thu Feb 06 19:57:07 2014	1391734627	37	162	199	160
Thu Feb 06 19:56:46 2014	1391734606	17	181	199	180
Thu Feb 06 19:56:39 2014	1391734599	22	177	199	177
Thu Feb 06 19:56:39 2014	1391734599	70	129	199	128
Thu Feb 06 19:56:39 2014	1391734599	71	129	199	128
Thu Feb 06 19:56:47 2014	1391734607	44	156	200	156
Thu Feb 06 19:56:39 2014	1391734599	72	128	200	128
Thu Feb 06 19:56:33 2014	1391734593	36	165	200	164
Thu Feb 06 19:57:09 2014	1391734629	15	185	201	184
Thu Feb 06 19:56:47 2014	1391734607	44	157	201	156
Thu Feb 06 19:56:43 2014	1391734603	23	179	202	179
Thu Feb 06 19:56:47 2014	1391734607	44	157	202	157
Thu Feb 06 19:57:16 2014	1391734636	32	170	202	168
Thu Feb 06 19:56:39 2014	1391734599	19	183	202	183
Thu Feb 06 19:56:42 2014	1391734602	42	161	203	161
Thu Feb 06 19:56:42 2014	1391734602	42	161	203	161
Thu Feb 06 19:56:39 2014	1391734599	32	171	204	166
Thu Feb 06 19:56:47 2014	1391734607	47	158	204	157
Thu Feb 06 19:57:33 2014	1391734653	17	188	205	188
Thu Feb 06 19:57:28 2014	1391734648	19	187	205	184
Thu Feb 06 19:56:56 2014	1391734616	14	191	206	181
Thu Feb 06 19:57:29 2014	1391734649	36	170	206	168
Thu Feb 06 19:56:42 2014	1391734602	31	175	206	174
