starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 20:25:29 2014	1391736329	16	32	48	31
Thu Feb 06 20:25:38 2014	1391736338	16	35	52	31
Thu Feb 06 20:25:38 2014	1391736338	21	34	55	34
Thu Feb 06 20:25:38 2014	1391736338	19	39	58	37
Thu Feb 06 20:25:29 2014	1391736329	16	43	59	43
Thu Feb 06 20:25:29 2014	1391736329	16	43	59	37
Thu Feb 06 20:25:38 2014	1391736338	30	29	59	28
Thu Feb 06 20:25:29 2014	1391736329	16	44	61	43
Thu Feb 06 20:25:29 2014	1391736329	16	45	61	44
Thu Feb 06 20:25:39 2014	1391736339	31	31	61	30
Thu Feb 06 20:25:38 2014	1391736338	17	44	61	44
Thu Feb 06 20:25:38 2014	1391736338	26	35	61	35
Thu Feb 06 20:25:38 2014	1391736338	30	33	63	33
Thu Feb 06 20:25:38 2014	1391736338	21	43	65	43
Thu Feb 06 20:25:39 2014	1391736339	20	45	65	44
Thu Feb 06 20:25:38 2014	1391736338	32	33	65	27
Thu Feb 06 20:25:38 2014	1391736338	26	39	65	38
Thu Feb 06 20:25:38 2014	1391736338	32	33	65	33
Thu Feb 06 20:25:38 2014	1391736338	32	33	65	33
Thu Feb 06 20:25:38 2014	1391736338	34	31	66	31
Thu Feb 06 20:25:39 2014	1391736339	27	40	66	39
Thu Feb 06 20:25:39 2014	1391736339	27	40	66	39
Thu Feb 06 20:25:38 2014	1391736338	32	35	67	35
Thu Feb 06 20:25:39 2014	1391736339	33	34	67	33
Thu Feb 06 20:25:39 2014	1391736339	26	41	67	40
Thu Feb 06 20:25:38 2014	1391736338	27	41	67	38
Thu Feb 06 20:25:38 2014	1391736338	24	44	68	44
Thu Feb 06 20:25:38 2014	1391736338	38	30	68	29
Thu Feb 06 20:25:40 2014	1391736340	33	35	68	33
Thu Feb 06 20:25:39 2014	1391736339	30	38	68	37
Thu Feb 06 20:25:39 2014	1391736339	38	31	68	28
Thu Feb 06 20:25:29 2014	1391736329	16	52	68	46
Thu Feb 06 20:25:38 2014	1391736338	44	24	68	24
Thu Feb 06 20:25:39 2014	1391736339	34	35	69	35
Thu Feb 06 20:25:39 2014	1391736339	27	42	69	42
Thu Feb 06 20:25:39 2014	1391736339	20	49	69	49
Thu Feb 06 20:25:39 2014	1391736339	29	40	69	39
Thu Feb 06 20:25:39 2014	1391736339	26	43	69	39
Thu Feb 06 20:25:39 2014	1391736339	28	42	70	35
Thu Feb 06 20:25:38 2014	1391736338	35	35	70	33
Thu Feb 06 20:25:39 2014	1391736339	35	35	71	33
Thu Feb 06 20:25:38 2014	1391736338	46	25	71	23
Thu Feb 06 20:25:38 2014	1391736338	36	36	71	35
Thu Feb 06 20:25:39 2014	1391736339	28	43	71	43
Thu Feb 06 20:25:39 2014	1391736339	32	39	71	39
Thu Feb 06 20:25:39 2014	1391736339	22	50	71	48
Thu Feb 06 20:25:39 2014	1391736339	28	43	72	43
Thu Feb 06 20:25:39 2014	1391736339	28	44	72	43
Thu Feb 06 20:25:38 2014	1391736338	44	28	72	26
Thu Feb 06 20:25:39 2014	1391736339	22	50	72	49
Thu Feb 06 20:25:39 2014	1391736339	21	51	72	50
Thu Feb 06 20:25:38 2014	1391736338	28	44	72	44
Thu Feb 06 20:25:40 2014	1391736340	31	42	73	42
Thu Feb 06 20:25:39 2014	1391736339	30	43	73	37
Thu Feb 06 20:25:38 2014	1391736338	44	29	73	27
Thu Feb 06 20:25:39 2014	1391736339	25	48	73	48
Thu Feb 06 20:25:39 2014	1391736339	31	43	74	38
Thu Feb 06 20:25:39 2014	1391736339	41	32	74	32
Thu Feb 06 20:25:38 2014	1391736338	30	44	74	42
Thu Feb 06 20:25:39 2014	1391736339	29	45	74	44
Thu Feb 06 20:25:38 2014	1391736338	47	27	74	25
Thu Feb 06 20:25:40 2014	1391736340	44	30	74	29
Thu Feb 06 20:25:38 2014	1391736338	42	32	74	32
