starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 20:34:35 2014	1391736875	23	28	51	28
Thu Feb 06 20:34:35 2014	1391736875	21	30	51	30
Thu Feb 06 20:34:46 2014	1391736886	18	34	52	34
Thu Feb 06 20:34:46 2014	1391736886	17	37	54	36
Thu Feb 06 20:34:46 2014	1391736886	21	35	56	35
Thu Feb 06 20:34:57 2014	1391736897	20	38	58	38
Thu Feb 06 20:34:35 2014	1391736875	20	39	59	38
Thu Feb 06 20:34:35 2014	1391736875	29	32	61	32
Thu Feb 06 20:34:57 2014	1391736897	20	42	62	40
Thu Feb 06 20:34:57 2014	1391736897	19	43	63	42
Thu Feb 06 20:34:35 2014	1391736875	30	33	63	33
Thu Feb 06 20:34:35 2014	1391736875	20	45	65	43
Thu Feb 06 20:34:35 2014	1391736875	29	36	65	36
Thu Feb 06 20:34:35 2014	1391736875	21	44	65	44
Thu Feb 06 20:34:35 2014	1391736875	29	37	65	36
Thu Feb 06 20:34:35 2014	1391736875	19	46	66	46
Thu Feb 06 20:34:35 2014	1391736875	20	46	66	46
Thu Feb 06 20:34:34 2014	1391736874	31	35	66	34
Thu Feb 06 20:34:34 2014	1391736874	23	44	67	43
Thu Feb 06 20:34:35 2014	1391736875	34	32	67	32
Thu Feb 06 20:34:34 2014	1391736874	31	36	67	35
Thu Feb 06 20:34:34 2014	1391736874	30	37	67	35
Thu Feb 06 20:34:34 2014	1391736874	27	41	67	41
Thu Feb 06 20:34:35 2014	1391736875	39	30	69	29
Thu Feb 06 20:34:35 2014	1391736875	25	44	69	44
Thu Feb 06 20:34:42 2014	1391736882	18	51	69	51
Thu Feb 06 20:34:35 2014	1391736875	35	34	69	34
Thu Feb 06 20:34:42 2014	1391736882	18	52	70	51
Thu Feb 06 20:34:34 2014	1391736874	21	49	70	48
Thu Feb 06 20:34:49 2014	1391736889	14	56	70	56
Thu Feb 06 20:34:34 2014	1391736874	26	44	70	44
Thu Feb 06 20:34:35 2014	1391736875	16	55	71	54
Thu Feb 06 20:34:35 2014	1391736875	23	48	71	48
Thu Feb 06 20:34:57 2014	1391736897	19	52	71	52
Thu Feb 06 20:34:35 2014	1391736875	35	37	72	37
Thu Feb 06 20:34:35 2014	1391736875	21	51	72	50
Thu Feb 06 20:34:35 2014	1391736875	16	56	72	55
Thu Feb 06 20:34:35 2014	1391736875	35	37	72	37
Thu Feb 06 20:34:35 2014	1391736875	24	48	72	46
Thu Feb 06 20:34:35 2014	1391736875	24	48	72	48
Thu Feb 06 20:34:34 2014	1391736874	20	52	73	52
Thu Feb 06 20:34:35 2014	1391736875	16	57	73	57
Thu Feb 06 20:34:35 2014	1391736875	16	57	73	56
Thu Feb 06 20:34:42 2014	1391736882	15	59	73	59
Thu Feb 06 20:34:35 2014	1391736875	15	58	74	58
