starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 22:45:35 2014	1391744735	0	17	17	17
Thu Feb 06 22:45:35 2014	1391744735	0	18	18	18
Thu Feb 06 22:45:35 2014	1391744735	0	18	18	18
Thu Feb 06 22:45:36 2014	1391744736	0	18	18	18
Thu Feb 06 22:45:38 2014	1391744738	0	18	18	18
Thu Feb 06 22:45:36 2014	1391744736	0	18	18	18
Thu Feb 06 22:45:35 2014	1391744735	0	18	18	18
Thu Feb 06 22:45:35 2014	1391744735	0	18	18	18
Thu Feb 06 22:45:39 2014	1391744739	0	18	18	18
Thu Feb 06 22:45:36 2014	1391744736	0	18	18	18
Thu Feb 06 22:45:36 2014	1391744736	0	19	19	18
Thu Feb 06 22:45:35 2014	1391744735	0	19	19	19
Thu Feb 06 22:45:35 2014	1391744735	0	19	19	19
Thu Feb 06 22:45:35 2014	1391744735	0	19	19	19
Thu Feb 06 22:45:40 2014	1391744740	0	19	19	19
Thu Feb 06 22:45:38 2014	1391744738	0	19	19	19
Thu Feb 06 22:45:37 2014	1391744737	0	19	19	19
Thu Feb 06 22:45:35 2014	1391744735	0	19	19	19
Thu Feb 06 22:45:38 2014	1391744738	0	20	20	19
Thu Feb 06 22:45:38 2014	1391744738	0	20	20	19
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	19
Thu Feb 06 22:45:36 2014	1391744736	0	20	20	20
Thu Feb 06 22:45:36 2014	1391744736	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:37 2014	1391744737	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:38 2014	1391744738	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:36 2014	1391744736	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:38 2014	1391744738	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:37 2014	1391744737	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:35 2014	1391744735	0	20	20	20
Thu Feb 06 22:45:38 2014	1391744738	0	20	20	20
Thu Feb 06 22:45:38 2014	1391744738	0	21	21	20
Thu Feb 06 22:45:35 2014	1391744735	0	21	21	20
Thu Feb 06 22:45:35 2014	1391744735	0	21	21	21
Thu Feb 06 22:45:38 2014	1391744738	0	21	21	21
Thu Feb 06 22:45:35 2014	1391744735	0	21	21	21
Thu Feb 06 22:45:38 2014	1391744738	0	21	21	21
Thu Feb 06 22:45:36 2014	1391744736	0	21	21	21
Thu Feb 06 22:45:35 2014	1391744735	0	21	21	21
Thu Feb 06 22:45:37 2014	1391744737	0	21	21	21
Thu Feb 06 22:45:38 2014	1391744738	0	21	21	21
Thu Feb 06 22:45:38 2014	1391744738	0	21	21	21
Thu Feb 06 22:45:37 2014	1391744737	0	21	21	21
Thu Feb 06 22:45:36 2014	1391744736	0	21	21	21
Thu Feb 06 22:45:38 2014	1391744738	0	21	21	21
Thu Feb 06 22:45:36 2014	1391744736	0	21	21	21
Thu Feb 06 22:45:38 2014	1391744738	0	21	21	21
Thu Feb 06 22:46:13 2014	1391744773	0	21	21	21
Thu Feb 06 22:45:36 2014	1391744736	0	22	22	21
