starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 23:06:17 2014	1391745977	0	0	0	0
Thu Feb 06 23:06:17 2014	1391745977	0	0	0	0
Thu Feb 06 23:06:17 2014	1391745977	0	0	0	0
Thu Feb 06 23:06:17 2014	1391745977	0	0	0	0
Thu Feb 06 23:05:50 2014	1391745950	0	22	22	22
Thu Feb 06 23:05:50 2014	1391745950	0	23	23	23
Thu Feb 06 23:05:50 2014	1391745950	0	23	23	23
Thu Feb 06 23:05:50 2014	1391745950	0	24	24	23
Thu Feb 06 23:05:50 2014	1391745950	0	24	24	23
Thu Feb 06 23:05:50 2014	1391745950	0	24	24	24
Thu Feb 06 23:05:50 2014	1391745950	0	24	24	24
Thu Feb 06 23:05:50 2014	1391745950	0	25	25	25
Thu Feb 06 23:05:50 2014	1391745950	0	25	25	25
Thu Feb 06 23:05:50 2014	1391745950	0	25	25	25
Thu Feb 06 23:05:50 2014	1391745950	0	26	26	26
Thu Feb 06 23:05:51 2014	1391745951	0	26	26	26
Thu Feb 06 23:05:50 2014	1391745950	0	27	27	26
Thu Feb 06 23:05:50 2014	1391745950	0	27	27	26
Thu Feb 06 23:05:50 2014	1391745950	0	27	27	27
Thu Feb 06 23:05:51 2014	1391745951	0	27	27	27
Thu Feb 06 23:05:50 2014	1391745950	0	27	27	27
Thu Feb 06 23:05:50 2014	1391745950	0	27	27	27
Thu Feb 06 23:05:50 2014	1391745950	0	27	27	27
Thu Feb 06 23:05:50 2014	1391745950	0	27	27	27
Thu Feb 06 23:05:50 2014	1391745950	0	28	28	27
Thu Feb 06 23:05:50 2014	1391745950	0	28	28	28
Thu Feb 06 23:05:50 2014	1391745950	0	28	28	28
Thu Feb 06 23:05:50 2014	1391745950	0	28	28	28
Thu Feb 06 23:05:50 2014	1391745950	0	28	28	28
Thu Feb 06 23:05:50 2014	1391745950	0	28	28	28
Thu Feb 06 23:05:50 2014	1391745950	0	29	29	29
Thu Feb 06 23:05:51 2014	1391745951	0	29	29	29
Thu Feb 06 23:05:50 2014	1391745950	0	29	29	29
Thu Feb 06 23:05:50 2014	1391745950	0	29	29	29
Thu Feb 06 23:05:50 2014	1391745950	0	30	30	30
Thu Feb 06 23:05:50 2014	1391745950	0	30	30	30
Thu Feb 06 23:05:50 2014	1391745950	0	31	31	30
Thu Feb 06 23:05:50 2014	1391745950	0	31	31	30
Thu Feb 06 23:05:50 2014	1391745950	0	31	31	31
Thu Feb 06 23:05:50 2014	1391745950	0	31	31	31
Thu Feb 06 23:05:50 2014	1391745950	0	31	31	31
Thu Feb 06 23:05:50 2014	1391745950	0	32	32	32
Thu Feb 06 23:05:50 2014	1391745950	0	32	32	32
Thu Feb 06 23:05:50 2014	1391745950	0	32	32	32
Thu Feb 06 23:05:50 2014	1391745950	0	32	32	32
Thu Feb 06 23:05:50 2014	1391745950	0	32	32	32
Thu Feb 06 23:05:51 2014	1391745951	0	32	32	32
Thu Feb 06 23:05:50 2014	1391745950	0	33	33	33
Thu Feb 06 23:05:51 2014	1391745951	0	33	33	33
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	33
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	34
Thu Feb 06 23:05:51 2014	1391745951	0	34	34	34
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	33
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	34
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	34
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	34
Thu Feb 06 23:05:51 2014	1391745951	0	34	34	34
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	34
Thu Feb 06 23:05:51 2014	1391745951	0	34	34	34
Thu Feb 06 23:05:50 2014	1391745950	0	34	34	34
Thu Feb 06 23:05:50 2014	1391745950	0	35	35	34
Thu Feb 06 23:05:50 2014	1391745950	0	35	35	35
Thu Feb 06 23:05:50 2014	1391745950	0	35	35	35
Thu Feb 06 23:05:51 2014	1391745951	0	35	35	35
Thu Feb 06 23:05:50 2014	1391745950	0	35	35	35
Thu Feb 06 23:05:50 2014	1391745950	0	35	35	35
Thu Feb 06 23:05:51 2014	1391745951	0	36	36	36
Thu Feb 06 23:05:50 2014	1391745950	0	36	36	36
Thu Feb 06 23:05:50 2014	1391745950	0	36	36	36
Thu Feb 06 23:05:50 2014	1391745950	0	37	37	37
Thu Feb 06 23:05:50 2014	1391745950	0	37	37	37
Thu Feb 06 23:05:51 2014	1391745951	0	37	37	37
Thu Feb 06 23:05:51 2014	1391745951	0	37	37	37
Thu Feb 06 23:05:50 2014	1391745950	0	37	37	37
Thu Feb 06 23:05:50 2014	1391745950	0	38	38	37
Thu Feb 06 23:05:50 2014	1391745950	0	38	38	38
Thu Feb 06 23:05:51 2014	1391745951	0	38	38	37
Thu Feb 06 23:05:50 2014	1391745950	0	38	38	38
Thu Feb 06 23:05:50 2014	1391745950	0	38	38	38
Thu Feb 06 23:05:50 2014	1391745950	0	38	38	38
Thu Feb 06 23:05:50 2014	1391745950	0	38	38	38
Thu Feb 06 23:05:52 2014	1391745952	0	39	39	39
Thu Feb 06 23:05:50 2014	1391745950	0	39	39	39
Thu Feb 06 23:05:51 2014	1391745951	0	39	39	39
Thu Feb 06 23:05:50 2014	1391745950	0	39	39	39
Thu Feb 06 23:05:50 2014	1391745950	0	39	39	39
Thu Feb 06 23:05:51 2014	1391745951	0	39	39	39
Thu Feb 06 23:05:51 2014	1391745951	0	39	39	39
Thu Feb 06 23:05:50 2014	1391745950	0	39	39	39
Thu Feb 06 23:05:50 2014	1391745950	0	39	39	39
Thu Feb 06 23:05:50 2014	1391745950	0	40	40	39
Thu Feb 06 23:05:50 2014	1391745950	0	40	40	40
Thu Feb 06 23:05:51 2014	1391745951	0	40	40	40
Thu Feb 06 23:05:50 2014	1391745950	0	40	40	40
Thu Feb 06 23:05:50 2014	1391745950	0	40	40	40
Thu Feb 06 23:05:51 2014	1391745951	0	41	41	41
Thu Feb 06 23:05:52 2014	1391745952	0	41	41	41
Thu Feb 06 23:05:50 2014	1391745950	0	41	41	41
Thu Feb 06 23:05:50 2014	1391745950	0	41	41	41
Thu Feb 06 23:05:50 2014	1391745950	0	41	41	41
Thu Feb 06 23:05:50 2014	1391745950	0	41	41	41
Thu Feb 06 23:05:51 2014	1391745951	0	42	42	42
Thu Feb 06 23:05:51 2014	1391745951	0	42	42	42
