starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 22:56:47 2014	1391745407	0	69	69	68
Thu Feb 06 22:56:04 2014	1391745364	0	81	81	81
Thu Feb 06 22:56:39 2014	1391745399	0	82	82	82
Thu Feb 06 22:56:32 2014	1391745392	0	89	89	89
Thu Feb 06 22:56:32 2014	1391745392	0	90	90	90
Thu Feb 06 22:56:47 2014	1391745407	0	91	91	90
Thu Feb 06 22:56:04 2014	1391745364	0	91	91	91
Thu Feb 06 22:56:23 2014	1391745383	0	95	95	95
Thu Feb 06 22:56:47 2014	1391745407	0	98	98	98
Thu Feb 06 22:56:32 2014	1391745392	0	99	99	99
Thu Feb 06 22:56:28 2014	1391745388	0	101	101	101
Thu Feb 06 22:56:05 2014	1391745365	0	101	101	101
Thu Feb 06 22:56:02 2014	1391745362	17	92	109	91
Thu Feb 06 22:56:04 2014	1391745364	0	110	110	109
Thu Feb 06 22:56:19 2014	1391745379	0	113	113	113
Thu Feb 06 22:56:02 2014	1391745362	20	95	114	95
Thu Feb 06 22:56:04 2014	1391745364	0	115	115	115
Thu Feb 06 22:56:47 2014	1391745407	0	126	126	125
Thu Feb 06 22:56:28 2014	1391745388	0	126	126	126
Thu Feb 06 22:56:32 2014	1391745392	0	130	130	130
Thu Feb 06 22:56:20 2014	1391745380	0	131	131	131
Thu Feb 06 22:56:04 2014	1391745364	0	136	136	136
Thu Feb 06 22:56:47 2014	1391745407	0	141	141	140
Thu Feb 06 22:56:47 2014	1391745407	0	142	142	141
Thu Feb 06 22:56:28 2014	1391745388	0	144	144	144
Thu Feb 06 22:56:47 2014	1391745407	0	152	152	152
Thu Feb 06 22:56:32 2014	1391745392	0	153	153	153
Thu Feb 06 22:56:02 2014	1391745362	20	134	154	134
Thu Feb 06 22:56:19 2014	1391745379	0	157	157	156
Thu Feb 06 22:56:03 2014	1391745363	0	158	158	158
Thu Feb 06 22:56:02 2014	1391745362	29	131	159	130
Thu Feb 06 22:56:19 2014	1391745379	0	162	162	162
Thu Feb 06 22:56:02 2014	1391745362	16	147	163	147
Thu Feb 06 22:56:28 2014	1391745388	0	166	166	166
Thu Feb 06 22:56:20 2014	1391745380	0	167	167	167
