starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 23:39:16 2014	1391747956	0	18	18	18
Thu Feb 06 23:39:17 2014	1391747957	0	20	20	20
Thu Feb 06 23:39:17 2014	1391747957	0	20	20	20
Thu Feb 06 23:39:16 2014	1391747956	0	21	21	21
Thu Feb 06 23:39:17 2014	1391747957	0	21	21	21
Thu Feb 06 23:39:17 2014	1391747957	0	21	21	21
Thu Feb 06 23:39:17 2014	1391747957	0	21	21	21
Thu Feb 06 23:39:15 2014	1391747955	0	21	21	21
Thu Feb 06 23:39:17 2014	1391747957	0	21	21	21
Thu Feb 06 23:39:17 2014	1391747957	0	21	21	21
Thu Feb 06 23:39:17 2014	1391747957	0	22	22	20
Thu Feb 06 23:39:17 2014	1391747957	0	22	22	22
Thu Feb 06 23:39:16 2014	1391747956	0	22	22	22
Thu Feb 06 23:39:17 2014	1391747957	0	22	22	22
Thu Feb 06 23:39:17 2014	1391747957	0	22	22	22
Thu Feb 06 23:39:17 2014	1391747957	0	22	22	22
Thu Feb 06 23:39:18 2014	1391747958	0	23	23	22
Thu Feb 06 23:39:15 2014	1391747955	0	23	23	22
Thu Feb 06 23:39:17 2014	1391747957	0	23	23	23
Thu Feb 06 23:39:14 2014	1391747954	0	23	23	22
Thu Feb 06 23:39:17 2014	1391747957	0	23	23	21
Thu Feb 06 23:39:17 2014	1391747957	0	23	23	23
Thu Feb 06 23:39:15 2014	1391747955	0	23	23	23
Thu Feb 06 23:39:18 2014	1391747958	0	23	23	23
Thu Feb 06 23:39:18 2014	1391747958	0	23	23	23
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	23
Thu Feb 06 23:39:15 2014	1391747955	0	24	24	24
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	23
Thu Feb 06 23:39:18 2014	1391747958	0	24	24	24
Thu Feb 06 23:39:15 2014	1391747955	0	24	24	24
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	24
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	24
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	23
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	22
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	21
Thu Feb 06 23:39:16 2014	1391747956	0	24	24	24
Thu Feb 06 23:39:16 2014	1391747956	0	24	24	24
Thu Feb 06 23:39:18 2014	1391747958	0	24	24	24
Thu Feb 06 23:39:16 2014	1391747956	0	24	24	24
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	23
Thu Feb 06 23:39:17 2014	1391747957	0	24	24	24
Thu Feb 06 23:39:18 2014	1391747958	0	25	25	24
Thu Feb 06 23:39:14 2014	1391747954	0	25	25	24
Thu Feb 06 23:39:18 2014	1391747958	0	25	25	25
Thu Feb 06 23:39:18 2014	1391747958	0	25	25	23
Thu Feb 06 23:39:17 2014	1391747957	0	25	25	24
Thu Feb 06 23:39:17 2014	1391747957	0	25	25	25
Thu Feb 06 23:39:16 2014	1391747956	0	25	25	25
Thu Feb 06 23:39:18 2014	1391747958	0	25	25	24
Thu Feb 06 23:39:17 2014	1391747957	0	25	25	25
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	25
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	26
Thu Feb 06 23:39:15 2014	1391747955	0	26	26	25
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	24
Thu Feb 06 23:39:15 2014	1391747955	0	26	26	26
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	26
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	26
Thu Feb 06 23:39:15 2014	1391747955	0	26	26	26
Thu Feb 06 23:39:17 2014	1391747957	0	26	26	22
Thu Feb 06 23:39:17 2014	1391747957	0	26	26	26
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	26
Thu Feb 06 23:39:17 2014	1391747957	0	26	26	26
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	26
Thu Feb 06 23:39:18 2014	1391747958	0	26	26	26
Thu Feb 06 23:39:17 2014	1391747957	0	26	26	26
Thu Feb 06 23:39:15 2014	1391747955	0	27	27	26
Thu Feb 06 23:39:17 2014	1391747957	0	27	27	27
Thu Feb 06 23:39:18 2014	1391747958	0	27	27	26
Thu Feb 06 23:39:18 2014	1391747958	0	27	27	27
Thu Feb 06 23:39:17 2014	1391747957	0	27	27	27
Thu Feb 06 23:39:18 2014	1391747958	0	27	27	26
Thu Feb 06 23:39:18 2014	1391747958	0	27	27	27
Thu Feb 06 23:39:15 2014	1391747955	0	27	27	27
Thu Feb 06 23:39:15 2014	1391747955	0	27	27	27
Thu Feb 06 23:39:17 2014	1391747957	0	27	27	27
Thu Feb 06 23:39:17 2014	1391747957	0	27	27	24
Thu Feb 06 23:39:18 2014	1391747958	0	27	27	27
Thu Feb 06 23:39:18 2014	1391747958	0	27	27	27
Thu Feb 06 23:39:18 2014	1391747958	0	27	27	27
Thu Feb 06 23:39:17 2014	1391747957	0	28	28	27
Thu Feb 06 23:39:18 2014	1391747958	0	28	28	26
Thu Feb 06 23:39:17 2014	1391747957	0	28	28	27
Thu Feb 06 23:39:15 2014	1391747955	0	28	28	28
Thu Feb 06 23:39:18 2014	1391747958	0	28	28	28
Thu Feb 06 23:39:17 2014	1391747957	0	28	28	28
Thu Feb 06 23:39:17 2014	1391747957	0	28	28	28
Thu Feb 06 23:39:16 2014	1391747956	0	28	28	28
Thu Feb 06 23:39:15 2014	1391747955	0	28	28	28
Thu Feb 06 23:39:15 2014	1391747955	0	28	28	28
Thu Feb 06 23:39:14 2014	1391747954	0	28	28	26
Thu Feb 06 23:39:17 2014	1391747957	0	28	28	27
Thu Feb 06 23:39:15 2014	1391747955	0	29	29	28
Thu Feb 06 23:39:18 2014	1391747958	0	29	29	29
Thu Feb 06 23:39:17 2014	1391747957	0	29	29	29
Thu Feb 06 23:39:17 2014	1391747957	0	29	29	29
Thu Feb 06 23:39:15 2014	1391747955	0	29	29	29
Thu Feb 06 23:39:16 2014	1391747956	0	29	29	29
Thu Feb 06 23:39:15 2014	1391747955	0	29	29	29
Thu Feb 06 23:39:16 2014	1391747956	0	29	29	28
Thu Feb 06 23:39:16 2014	1391747956	0	29	29	29
Thu Feb 06 23:39:16 2014	1391747956	0	29	29	29
Thu Feb 06 23:39:15 2014	1391747955	0	29	29	29
Thu Feb 06 23:39:16 2014	1391747956	0	29	29	29
Thu Feb 06 23:39:15 2014	1391747955	0	29	29	29
Thu Feb 06 23:39:15 2014	1391747955	0	29	29	29
Thu Feb 06 23:39:15 2014	1391747955	0	29	29	29
Thu Feb 06 23:39:18 2014	1391747958	0	30	30	29
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	29
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	30
Thu Feb 06 23:39:14 2014	1391747954	0	30	30	29
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	28
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	30
Thu Feb 06 23:39:16 2014	1391747956	0	30	30	29
Thu Feb 06 23:39:14 2014	1391747954	0	30	30	30
Thu Feb 06 23:39:18 2014	1391747958	0	30	30	30
Thu Feb 06 23:39:16 2014	1391747956	0	30	30	30
Thu Feb 06 23:39:16 2014	1391747956	0	30	30	30
Thu Feb 06 23:39:16 2014	1391747956	0	30	30	30
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	29
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	30
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	29
Thu Feb 06 23:39:16 2014	1391747956	0	30	30	28
Thu Feb 06 23:39:19 2014	1391747959	0	30	30	30
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	30
Thu Feb 06 23:39:16 2014	1391747956	0	30	30	30
Thu Feb 06 23:39:16 2014	1391747956	0	30	30	30
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	30
Thu Feb 06 23:39:17 2014	1391747957	0	30	30	30
Thu Feb 06 23:39:15 2014	1391747955	0	30	30	30
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	29
Thu Feb 06 23:39:16 2014	1391747956	0	31	31	30
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:16 2014	1391747956	0	31	31	29
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:16 2014	1391747956	0	31	31	30
Thu Feb 06 23:39:18 2014	1391747958	0	31	31	30
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:19 2014	1391747959	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:14 2014	1391747954	0	31	31	31
Thu Feb 06 23:39:18 2014	1391747958	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:14 2014	1391747954	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:14 2014	1391747954	0	31	31	30
Thu Feb 06 23:39:16 2014	1391747956	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:14 2014	1391747954	0	31	31	31
Thu Feb 06 23:39:18 2014	1391747958	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:16 2014	1391747956	0	31	31	31
Thu Feb 06 23:39:17 2014	1391747957	0	31	31	31
Thu Feb 06 23:39:18 2014	1391747958	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	30
Thu Feb 06 23:39:14 2014	1391747954	0	31	31	31
Thu Feb 06 23:39:16 2014	1391747956	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
Thu Feb 06 23:39:16 2014	1391747956	0	31	31	31
Thu Feb 06 23:39:15 2014	1391747955	0	31	31	31
