starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 23:29:56 2014	1391747396	0	15	15	15
Thu Feb 06 23:29:56 2014	1391747396	0	16	16	16
Thu Feb 06 23:29:58 2014	1391747398	0	17	17	17
Thu Feb 06 23:29:56 2014	1391747396	0	17	17	17
Thu Feb 06 23:29:57 2014	1391747397	0	17	17	17
Thu Feb 06 23:29:58 2014	1391747398	0	17	17	16
Thu Feb 06 23:29:56 2014	1391747396	0	17	17	17
Thu Feb 06 23:29:56 2014	1391747396	0	17	17	16
Thu Feb 06 23:29:58 2014	1391747398	0	17	17	17
Thu Feb 06 23:29:56 2014	1391747396	0	17	17	17
Thu Feb 06 23:29:56 2014	1391747396	0	17	17	17
Thu Feb 06 23:29:58 2014	1391747398	0	18	18	17
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:57 2014	1391747397	0	18	18	18
Thu Feb 06 23:29:57 2014	1391747397	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	17
Thu Feb 06 23:29:57 2014	1391747397	0	18	18	17
Thu Feb 06 23:29:58 2014	1391747398	0	18	18	18
Thu Feb 06 23:29:57 2014	1391747397	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	17
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	17
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:58 2014	1391747398	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:58 2014	1391747398	0	18	18	17
Thu Feb 06 23:29:57 2014	1391747397	0	18	18	17
Thu Feb 06 23:29:58 2014	1391747398	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	17
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:56 2014	1391747396	0	18	18	18
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	18
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	17
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:58 2014	1391747398	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	18
Thu Feb 06 23:29:58 2014	1391747398	0	19	19	18
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	18
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:56 2014	1391747396	0	19	19	19
Thu Feb 06 23:29:58 2014	1391747398	0	19	19	19
Thu Feb 06 23:29:58 2014	1391747398	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:57 2014	1391747397	0	19	19	19
Thu Feb 06 23:29:58 2014	1391747398	0	19	19	19
Thu Feb 06 23:29:58 2014	1391747398	0	19	19	19
Thu Feb 06 23:29:58 2014	1391747398	0	20	20	18
Thu Feb 06 23:29:58 2014	1391747398	0	20	20	19
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	19
Thu Feb 06 23:29:56 2014	1391747396	0	20	20	19
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	19
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	19
Thu Feb 06 23:29:56 2014	1391747396	0	20	20	19
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	19
Thu Feb 06 23:29:58 2014	1391747398	0	20	20	19
Thu Feb 06 23:29:56 2014	1391747396	0	20	20	20
Thu Feb 06 23:29:58 2014	1391747398	0	20	20	19
Thu Feb 06 23:29:58 2014	1391747398	0	20	20	19
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	20
Thu Feb 06 23:29:58 2014	1391747398	0	20	20	19
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	19
Thu Feb 06 23:29:56 2014	1391747396	0	20	20	19
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	20
Thu Feb 06 23:30:01 2014	1391747401	0	20	20	20
Thu Feb 06 23:29:56 2014	1391747396	0	20	20	20
Thu Feb 06 23:29:57 2014	1391747397	0	20	20	19
Thu Feb 06 23:29:58 2014	1391747398	0	20	20	20
Thu Feb 06 23:29:56 2014	1391747396	0	20	20	19
