starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	95
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	88
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	82
Thu Feb 06 23:37:09 2014	1391747829	0	0	0	159
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	417
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	207
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	81
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	207
Thu Feb 06 23:37:09 2014	1391747829	0	0	0	81
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	90
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	74
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	89
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	79
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	80
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	381
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	77
Thu Feb 06 23:37:11 2014	1391747831	0	0	0	85
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:36:58 2014	1391747818	0	0	0	0
Thu Feb 06 23:36:58 2014	1391747818	0	0	0	0
Thu Feb 06 23:37:08 2014	1391747828	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:36:58 2014	1391747818	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:36:58 2014	1391747818	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:03 2014	1391747823	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
Thu Feb 06 23:37:02 2014	1391747822	0	0	0	0
