starttime	seconds	ctime	dtime	ttime	wait
Thu Feb 06 23:32:35 2014	1391747555	0	34	34	33
Thu Feb 06 23:32:35 2014	1391747555	0	34	34	34
Thu Feb 06 23:32:35 2014	1391747555	0	36	36	32
Thu Feb 06 23:32:35 2014	1391747555	0	37	37	37
Thu Feb 06 23:32:35 2014	1391747555	0	39	39	39
Thu Feb 06 23:32:35 2014	1391747555	0	40	40	40
Thu Feb 06 23:32:35 2014	1391747555	0	40	40	40
Thu Feb 06 23:32:35 2014	1391747555	0	40	40	40
Thu Feb 06 23:32:35 2014	1391747555	0	41	41	40
Thu Feb 06 23:32:35 2014	1391747555	0	43	43	42
Thu Feb 06 23:32:35 2014	1391747555	0	45	45	44
Thu Feb 06 23:32:35 2014	1391747555	0	46	46	46
Thu Feb 06 23:32:35 2014	1391747555	0	48	48	47
Thu Feb 06 23:32:35 2014	1391747555	0	48	48	48
Thu Feb 06 23:32:35 2014	1391747555	0	51	51	51
Thu Feb 06 23:32:37 2014	1391747557	0	51	51	50
Thu Feb 06 23:32:37 2014	1391747557	0	52	52	51
Thu Feb 06 23:32:32 2014	1391747552	0	52	52	52
Thu Feb 06 23:32:32 2014	1391747552	0	52	52	52
Thu Feb 06 23:32:36 2014	1391747556	0	52	52	52
Thu Feb 06 23:32:32 2014	1391747552	0	53	53	52
Thu Feb 06 23:32:32 2014	1391747552	0	53	53	53
Thu Feb 06 23:32:35 2014	1391747555	0	53	53	53
Thu Feb 06 23:32:35 2014	1391747555	0	53	53	52
Thu Feb 06 23:32:32 2014	1391747552	0	54	54	52
Thu Feb 06 23:32:37 2014	1391747557	0	54	54	54
Thu Feb 06 23:32:35 2014	1391747555	0	54	54	54
Thu Feb 06 23:32:32 2014	1391747552	0	54	54	54
Thu Feb 06 23:32:32 2014	1391747552	0	55	55	54
Thu Feb 06 23:32:32 2014	1391747552	0	55	55	54
Thu Feb 06 23:32:35 2014	1391747555	0	55	55	54
Thu Feb 06 23:32:37 2014	1391747557	0	55	55	54
Thu Feb 06 23:32:37 2014	1391747557	0	55	55	53
Thu Feb 06 23:32:35 2014	1391747555	0	55	55	54
Thu Feb 06 23:32:35 2014	1391747555	0	55	55	51
Thu Feb 06 23:32:32 2014	1391747552	0	55	55	52
Thu Feb 06 23:32:35 2014	1391747555	0	56	56	55
Thu Feb 06 23:32:32 2014	1391747552	0	56	56	55
Thu Feb 06 23:32:32 2014	1391747552	0	56	56	55
Thu Feb 06 23:32:36 2014	1391747556	0	56	56	55
Thu Feb 06 23:32:37 2014	1391747557	0	56	56	56
Thu Feb 06 23:32:32 2014	1391747552	0	56	56	52
Thu Feb 06 23:32:32 2014	1391747552	0	56	56	55
Thu Feb 06 23:32:37 2014	1391747557	0	56	56	55
Thu Feb 06 23:32:36 2014	1391747556	0	56	56	56
Thu Feb 06 23:32:32 2014	1391747552	0	57	57	53
Thu Feb 06 23:32:36 2014	1391747556	0	57	57	56
Thu Feb 06 23:32:32 2014	1391747552	0	57	57	56
Thu Feb 06 23:32:32 2014	1391747552	0	57	57	57
Thu Feb 06 23:32:37 2014	1391747557	0	57	57	56
Thu Feb 06 23:32:37 2014	1391747557	0	57	57	57
Thu Feb 06 23:32:33 2014	1391747553	0	57	57	53
Thu Feb 06 23:32:33 2014	1391747553	0	57	57	57
Thu Feb 06 23:32:32 2014	1391747552	0	57	57	50
Thu Feb 06 23:32:36 2014	1391747556	0	57	57	57
Thu Feb 06 23:32:35 2014	1391747555	0	57	57	55
Thu Feb 06 23:32:37 2014	1391747557	0	57	57	57
Thu Feb 06 23:32:36 2014	1391747556	0	57	57	57
Thu Feb 06 23:32:32 2014	1391747552	0	57	57	57
Thu Feb 06 23:32:35 2014	1391747555	0	57	57	56
Thu Feb 06 23:32:37 2014	1391747557	0	57	57	57
Thu Feb 06 23:32:32 2014	1391747552	0	58	58	51
Thu Feb 06 23:32:32 2014	1391747552	0	58	58	57
Thu Feb 06 23:32:35 2014	1391747555	0	58	58	57
Thu Feb 06 23:32:32 2014	1391747552	0	58	58	57
Thu Feb 06 23:32:33 2014	1391747553	0	58	58	58
Thu Feb 06 23:32:35 2014	1391747555	0	58	58	56
